baseline_clu,n_ref,n_matched_from_test,same_label_rate,recall_from_test_side
65,548,444,0.21621621621621623,0.8102189781021898
66,153,95,0.010526315789473684,0.6209150326797386
67,262,179,0.0335195530726257,0.683206106870229
68,197,168,0.20238095238095238,0.8527918781725888
69,663,488,0.12704918032786885,0.7360482654600302
70,438,363,0.1322314049586777,0.8287671232876712
71,467,492,0.20528455284552846,1.0535331905781584
72,816,739,0.15561569688768606,0.9056372549019608
73,947,817,0.1701346389228886,0.8627243928194298
74,902,758,0.18469656992084432,0.8403547671840355
75,334,257,0.1245136186770428,0.7694610778443114
76,488,485,0.334020618556701,0.9938524590163934
77,817,695,0.1841726618705036,0.8506731946144431
78,34,55,0.03636363636363636,1.6176470588235294
79,542,419,0.07637231503579953,0.7730627306273062
80,577,534,0.20973782771535582,0.925476603119584
81,280,249,0.08433734939759036,0.8892857142857142
82,586,485,0.09072164948453608,0.8276450511945392
83,127,175,0.017142857142857144,1.3779527559055118
84,438,353,0.12181303116147309,0.8059360730593608
85,256,291,0.3470790378006873,1.13671875
86,4139,2565,0.0,0.6197149069823629
87,426,354,0.1327683615819209,0.8309859154929577
88,229,201,0.09950248756218906,0.8777292576419214
89,82,54,0.05555555555555555,0.6585365853658537
90,456,345,0.0463768115942029,0.756578947368421
91,242,162,0.19135802469135801,0.6694214876033058
92,766,639,0.08294209702660407,0.8342036553524804
93,752,661,0.12708018154311648,0.8789893617021277
94,4211,2558,0.00039093041438623924,0.6074566611256234
95,1089,903,0.132890365448505,0.8292011019283747
96,360,271,0.12546125461254612,0.7527777777777778
97,591,496,0.10887096774193548,0.8392554991539763
98,1185,980,0.09795918367346938,0.8270042194092827
99,750,643,0.1057542768273717,0.8573333333333333
100,936,769,0.12613784135240572,0.8215811965811965
101,977,762,0.06955380577427822,0.7799385875127943
102,111,98,0.17346938775510204,0.8828828828828829
103,454,535,0.40373831775700936,1.1784140969162995
104,274,246,0.08943089430894309,0.8978102189781022
105,214,161,0.012422360248447204,0.7523364485981309
106,270,237,0.12236286919831224,0.8777777777777778
107,655,595,0.28739495798319326,0.9083969465648855
108,440,360,0.11666666666666667,0.8181818181818182
109,387,340,0.18529411764705883,0.8785529715762274
110,94,112,0.4732142857142857,1.1914893617021276
111,1354,1084,0.08671586715867159,0.8005908419497785
112,316,276,0.025362318840579712,0.8734177215189873
113,149,115,0.008695652173913044,0.7718120805369127
114,391,331,0.0755287009063444,0.8465473145780051
115,384,313,0.08626198083067092,0.8151041666666666
116,535,493,0.12778904665314403,0.9214953271028037
117,432,370,0.07027027027027027,0.8564814814814815
118,223,204,0.19607843137254902,0.9147982062780269
119,492,394,0.1548223350253807,0.8008130081300813
120,541,464,0.16594827586206898,0.8576709796672828
121,499,425,0.20470588235294118,0.8517034068136272
122,451,375,0.12,0.8314855875831486
123,763,643,0.08709175738724728,0.8427260812581914
124,609,557,0.14183123877917414,0.9146141215106732
125,21,9,0.0,0.42857142857142855
126,240,229,0.043668122270742356,0.9541666666666667
127,352,274,0.17153284671532848,0.7784090909090909
128,291,231,0.09523809523809523,0.7938144329896907
129,179,156,0.01282051282051282,0.8715083798882681
130,129,106,0.10377358490566038,0.8217054263565892
131,1752,1461,0.18754277891854895,0.833904109589041
132,218,244,0.5245901639344263,1.1192660550458715
133,792,661,0.12556732223903178,0.8345959595959596
134,81,82,0.21951219512195122,1.0123456790123457
135,226,208,0.19230769230769232,0.9203539823008849
136,475,411,0.07542579075425791,0.8652631578947368
137,153,138,0.09420289855072464,0.9019607843137255
