window_end_ns,elapsed_s,fps,rate_kib_s,missing_frames,loss_rate,crc_errors,old_frames,avg_interval_ms,interval_jitter_ms,bandwidth_jitter_kib_s
1785505275683296000,1.0219489999999496,19.570448231762043,78.54935764896679,0,0.0,0,0,50.1316,55.12674245421803,1.984746152478482
1785505276714784300,1.0314918999999918,20.358860791829937,81.71378696720805,0,0.0,0,0,52.60316666666667,61.49933421727697,1.9757289813766532
1785505277737192300,1.0224072999999407,19.561675664875594,78.51414744398309,0,0.0,0,0,51.120095,47.972641136243645,1.9718518819785533
1785505278760349700,1.0231584000000566,20.524681222378508,82.37933576560124,0,0.0,0,0,48.72226190476191,50.74134896259141,1.9601547971258086
1785505279783233700,1.0228835000000345,19.55256879204653,78.47759544463987,0,0.0,0,0,51.143604999999994,46.703448309818285,1.9267632645253694
1785505280804371800,1.0211340000000746,20.565371439985807,82.54265294759928,0,0.0,0,0,46.693514285714286,43.07813390248336,1.940104805965718
1785505281827644300,1.0232723999999962,19.545137736540216,78.44776962615262,0,0.0,0,0,49.986869999999996,48.22174050668214,1.9316278254575534
1785505282855746600,1.028106600000001,20.42589747016504,81.98285019763507,0,0.0,0,0,52.009971428571426,53.59508518043556,1.9182787552130591
1785505283883346800,1.027599599999803,19.462833578374138,78.11742774132588,0,0.0,0,0,51.379200000000004,46.1939110899398,1.9129035103315406
1785505284903938600,1.0205926000001,20.576280878381777,82.58643985366123,0,0.0,0,0,48.601,47.373351538982334,1.9129023798603428
1785505285929772900,1.0258335999999417,19.4963393673215,78.2519089840736,0,0.0,0,0,51.290535,45.8068746886118,1.895227582305355
1785505286950898500,1.021123100000068,20.56559096547576,82.54353405088416,0,0.0,0,0,46.841680952380955,46.56594852279527,1.8858298953159578
1785505287978889700,1.0279931000000033,19.455383504033183,78.08752558747695,0,0.0,0,0,53.271545,51.88894908727245,1.907615201541835
1785505289001234800,1.022345200000018,20.541007088407742,82.4448624349178,0,0.0,0,0,48.68395238095238,41.162447827948945,1.9428521481988534
1785505290020090100,1.0188493000000562,19.629988458547203,78.78833258264551,0,0.0,0,0,47.856385,44.049138671897765,1.944816487441441
1785505291052560900,1.0324772999999823,20.339430222824618,81.63579903887616,0,0.0,0,0,52.10323333333333,63.79984814697707,1.942455764701222
1785505292067527900,1.014963299999863,19.70514598902512,79.08999024891918,0,0.0,0,0,48.068275,45.305866162676935,1.9329321420135228
1785505293105161600,1.0376338999999462,19.274620846525,77.36200359298608,0,0.0,0,0,52.118875,54.48491257788589,1.9902586226981127
1785505294119925500,1.0147683000000143,20.69437919966529,83.06044776428158,0,0.0,0,0,50.650771428571424,51.20997179069857,2.0473163777743757
1785505295147460600,1.0275335000001178,19.464085599153417,78.12245294191459,0,0.0,0,0,51.374685,49.695388108844774,2.0662507230779625
1785505296175472700,1.0280129999998735,20.427757236535516,81.99031468961032,0,0.0,0,0,48.954676190476185,48.36692636777641,2.0610039024184643
1785505297189933600,1.0144506999999976,19.715102961632386,79.1299542698331,0,0.0,0,0,46.620825,56.38167086530007,2.0445926142972204
1785505298221430900,1.0315064000001257,20.35857460506056,81.7126383074208,0,0.0,0,0,53.02425714285714,59.9370675365885,2.030068318268765
1785505299247415400,1.0259848000000602,19.493466180004642,78.24037695294832,0,0.0,0,0,51.298235,56.281711624294886,2.0058043560751475
1785505300260109600,1.0126904999999624,20.736839142858337,83.2308680440896,0,0.0,0,0,45.891309523809525,45.38968676548567,2.0511958176264544
1785505301284968800,1.0248532999999043,19.5149881451344,78.32675905908435,0,0.0,0,0,49.99504,60.39448645185733,2.0497804360579135
1785505302307159800,1.0221963999999844,20.543997220104004,82.45686384240963,0,0.0,0,0,50.023042857142855,65.80758798895133,2.0572614781816387
1785505303331381200,1.024219500000072,19.527064266984365,78.37522864971264,0,0.0,0,0,50.050405,60.184787945988965,2.0495991282812738
1785505304356083400,1.0247041000000081,20.49372106542741,82.25507185440102,0,0.0,0,0,49.963742857142854,57.30099473266211,2.0465352707208946
1785505305388369700,1.032290299999886,19.374394973974095,77.76246420218118,0,0.0,0,0,53.830415,52.53286144939511,2.0655834654964624
1785505306412488300,1.0241182000002027,20.505445562822576,82.30213013984452,0,0.0,0,0,48.767971428571435,49.03076865580574,2.075410893137171
1785505307439099500,1.0266110000000026,19.481575786739036,78.19265281591547,0,0.0,0,0,51.330909999999996,53.658359888914944,2.0939987333061536
1785505308451541200,1.0124316999999792,20.74213993892174,83.2521437001644,0,0.0,0,0,46.371609523809525,53.80707819525146,2.139575000072994
