window_end_ns,elapsed_s,fps,rate_kib_s,missing_frames,loss_rate,crc_errors,old_frames,avg_interval_ms,interval_jitter_ms,bandwidth_jitter_kib_s,latency_count,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
1786376101492852900,1.0101278000001912,384.10981263947644,389.3613139841568,0,0.0,0,0,2.580996649484536,14.50671740853793,191.01684674653197,388,7330.008220876289,7335.239750000001,7357.970595000001,7360.040052
1786376102494163500,1.0013108999992255,411.46061627843926,417.0860543916211,0,0.0,0,0,2.4558888349514563,12.412198888238494,191.18531551173706,412,7483.8659791262135,7476.66075,7536.1343400000005,7550.071583999999
1786376103494874800,1.000666200001433,414.72371106309544,420.3937618002862,0,0.0,0,0,2.4112007228915666,9.055551294774613,191.2851140457237,415,7675.242218554217,7677.0429,7697.456680000001,7703.269412
1786376104495424900,1.0005963999974483,408.75621779275144,414.3446817078867,0,0.0,0,0,2.4467750611246943,11.925638645085261,191.38426061312938,409,7879.031068704157,7883.0818,7893.32114,7898.9612400000005
1786376105495685300,1.0002606000016385,429.8879711940025,435.76534580017045,0,0.0,0,0,2.3275134883720927,13.467908441546799,191.27632080942163,430,8079.875062093023,8089.006149999999,8125.891825000001,8127.944550999999
1786376106495803300,1.000116600000183,428.9499844317367,434.81453500013936,0,0.0,0,0,2.33043006993007,16.102547450842692,191.15067790177136,429,8165.2673634032635,8128.4398,8297.0681,8312.812384
1786376107515269300,1.0194659999979194,369.801445071017,374.8573242028473,0,0.0,0,0,2.6500628647214857,16.57882531197071,191.5594513292203,377,8403.859428912467,8401.4406,8432.6192,8445.194788
1786376108518144600,1.0028735000014422,423.7822616704787,429.5761597792548,0,0.0,0,0,2.4003423529411765,12.606726958243819,191.36248721841037,425,8588.016464470587,8590.5734,8623.24082,8629.642044
1786376109665918100,1.1477718999994977,0.871253251626423,0.883164917176003,0,0.0,0,0,1149.9158,0.0,208.39404646817408,1,9689.3179,9689.3179,9689.3179,9689.3179
1786376110666007200,1.0000913000003493,423.9612923338618,429.75763812748886,0,0.0,0,0,2.361757311320755,11.698093807194923,191.39197894847692,424,9869.554802594339,9865.6568,9908.88045,9923.583389
1786376111684272100,1.0182619000006525,329.9740469517564,334.4854108749249,0,0.0,0,0,2.972810119047619,17.36856169524435,192.50570977878937,336,10146.508262500001,10141.43605,10181.100450000002,10187.151905
1786376112685460300,1.0011930000000575,361.5686486021968,366.51196996980497,0,0.0,0,0,2.818596685082873,14.551887702458918,123.30352160997734,362,10462.455537845304,10465.20075,10485.11563,10490.163352
1786376113686469700,1.0010093999990204,394.60168905545396,399.996634023009,0,0.0,0,0,2.5282777215189873,13.560053136950224,116.03172045523802,395,10700.338853670886,10701.4854,10719.564540000001,10732.652194
1786376114687794900,1.0013254000004963,373.5049565304292,378.6114696079937,0,0.0,0,0,2.6825473262032085,16.832705835347326,114.78529727520319,374,10964.828289304813,10970.420900000001,10993.970335,10996.854935
1786376115688337600,1.0005433000005723,425.7686798759797,431.5897360461591,0,0.0,0,0,2.3503302816901406,11.539333803345572,113.36996163445812,426,11121.249199295775,11120.58585,11151.175025,11161.566325
1786376116690052500,1.0016971999975794,409.30532700000634,414.90129826758454,0,0.0,0,0,2.4398151219512196,12.785601391076865,112.23971315326698,410,11290.287805853659,11290.770499999999,11318.24757,11331.942335
1786376117690150300,1.0001152000004367,420.95150638628047,426.70670276265537,0,0.0,0,0,2.378260570071259,12.535533052563732,110.6526768644207,421,11464.750135866983,11459.2454,11504.8147,11511.5392
1786376118690331600,1.0001806000000215,436.9210920507662,442.8946226061478,0,0.0,0,0,2.277400457665904,9.747754930822582,109.18707762622316,437,11622.146583295194,11630.0765,11657.2292,11659.191012
1786376120210443300,1.520110299999942,0.6578469996552475,0.666841001603659,0,0.0,0,0,1524.2042,0.0,129.0164543462954,1,13062.5884,13062.5884,13062.5884,13062.5884
1786376121210614500,1.0001716000006127,423.9272540829396,429.72313450985484,0,0.0,0,0,2.3613122641509436,14.850977360580778,127.20325629033411,424,13281.199178537736,13271.99815,13349.967335000001,13363.715762
